date,product_id,product_name,price_pln,price_orig,currency,shop,url,offers_checked
2026-07-07,GX-T-KIT,SRAM GX Eagle Transmission Upgrade Kit,1283.85,299.0,EUR,bike-components.de,https://www.bike-components.de/en/SRAM/GX-Eagle-Transmission-Upgrade-Kit-p172400/,9
2026-07-08,GX-T-KIT,SRAM GX Eagle Transmission Upgrade Kit,1283.85,299.0,EUR,bike-components.de,https://www.bike-components.de/en/SRAM/GX-Eagle-Transmission-Upgrade-Kit-p172400/,9
2026-07-05,LAUF-CARBONARA,Lauf Carbonara fork,4452.98,1190.0,USD,laufcycles.com,https://www.laufcycles.com/product/lauf-carbonara,2
2026-07-06,LAUF-CARBONARA,Lauf Carbonara fork,4467.26,1190.0,USD,laufcycles.com,https://www.laufcycles.com/product/lauf-carbonara,2
2026-07-07,LAUF-CARBONARA,Lauf Carbonara fork,4471.19,1190.0,USD,laufcycles.com,https://www.laufcycles.com/product/lauf-carbonara,2
2026-07-08,LAUF-CARBONARA,Lauf Carbonara fork,4471.19,1190.0,USD,laufcycles.com,https://www.laufcycles.com/product/lauf-carbonara,2
2026-07-05,Lake MX190-X Wide,Lake MX190-X Wide,707.14,165.0,EUR,sport-bittl.com,https://www.sport-bittl.com/de/lake-mx190-wide-mountainbikeschuhe-schwarz::255373.html,6
2026-07-06,Lake MX190-X Wide,Lake MX190-X Wide,707.39,165.0,EUR,sport-bittl.com,https://www.sport-bittl.com/de/lake-mx190-wide-mountainbikeschuhe-schwarz::255373.html,6
2026-07-07,Lake MX190-X Wide,Lake MX190-X Wide,708.48,165.0,EUR,sport-bittl.com,https://www.sport-bittl.com/de/lake-mx190-wide-mountainbikeschuhe-schwarz::255373.html,7
2026-07-08,Lake MX190-X Wide,Lake MX190-X Wide,708.48,165.0,EUR,sport-bittl.com,https://www.sport-bittl.com/de/lake-mx190-wide-mountainbikeschuhe-schwarz::255373.html,7
2026-07-07,Lake MX242,Lake MX242,1288.1,299.99,EUR,bike-discount.de,https://www.bike-discount.de/de/lake-mx242-x-wide-mtb-schuhe-20154493,1
2026-07-08,Lake MX242,Lake MX242,1288.1,299.99,EUR,bike-discount.de,https://www.bike-discount.de/de/lake-mx242-x-wide-mtb-schuhe-20154493,1
2026-07-07,ROCK SHOX SID,ROCK SHOX SID SL Select+,1799.0,1799.0,PLN,centrumrowerowe.pl,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-sid-sl-select-pd49824/,1
2026-07-08,ROCK SHOX SID,ROCK SHOX SID SL Select+,1799.0,1799.0,PLN,centrumrowerowe.pl,https://www.centrumrowerowe.pl/amortyzator-rowerowy-rock-shox-sid-sl-select-pd49824/,1
2026-07-05,Ritchey WCS Carbon ErgoMax,Ritchey WCS Carbon ErgoMax,1074.05,230.34,CHF,bikeshopzizers.ch,https://bikeshopzizers.ch/ritchey-road-lenker-wcs-ergomax-42cm-c-c-oben-ud-carbon-31-8mm/,1
2026-07-06,Ritchey WCS Carbon ErgoMax,Ritchey WCS Carbon ErgoMax,1073.61,230.34,CHF,bikeshopzizers.ch,https://bikeshopzizers.ch/ritchey-road-lenker-wcs-ergomax-42cm-c-c-oben-ud-carbon-31-8mm/,1
2026-07-07,Ritchey WCS Carbon ErgoMax,Ritchey WCS Carbon ErgoMax,1073.29,230.34,CHF,bikeshopzizers.ch,https://bikeshopzizers.ch/ritchey-road-lenker-wcs-ergomax-42cm-c-c-oben-ud-carbon-31-8mm/,1
2026-07-08,Ritchey WCS Carbon ErgoMax,Ritchey WCS Carbon ErgoMax,1073.29,230.34,CHF,bikeshopzizers.ch,https://bikeshopzizers.ch/ritchey-road-lenker-wcs-ergomax-42cm-c-c-oben-ud-carbon-31-8mm/,1
